trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
149,0,149,0,5,335.6754888999858,335.6754888999858,0.011515300022438169,[0.1025],[-0.21416666666666667],[1],[0],[0],[1.6714547000010498],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
150,0,150,0,10,337.37464019999607,337.37464019999607,0.022354100015945733,[-0.1325],[0.4875],[1],[0],[0],[2.4534167000092566],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
151,0,151,0,5,339.83906430000206,339.83906430000206,0.011123300006147474,[0.44416666666666665],[0.22333333333333333],[1],[0],[0],[2.420939600036945],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
152,0,152,0,5,342.27049249998527,342.27049249998527,0.011355999973602593,[-0.08666666666666667],[0.2916666666666667],[1],[0],[0],[1.9166487999609672],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
153,0,153,0,5,344.2061091000214,344.2061091000214,0.01181290001841262,[0.18666666666666668],[-0.06166666666666667],[1],[0],[0],[1.836217099975329],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
154,0,154,0,10,346.0722974999808,346.0722974999808,0.020674599974881858,[-0.025],[0.43916666666666665],[1],[0],[0],[1.7400881999637932],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
155,0,155,0,10,347.82752520003123,347.82752520003123,0.01869180001085624,[0.17666666666666667],[0.23333333333333334],[1],[0],[0],[1.5114760000142269],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
156,0,156,0,10,349.36878110002726,349.36878110002726,0.021157599985599518,[0.24916666666666668],[-0.4216666666666667],[1],[0],[0],[2.127260999986902],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
157,0,157,0,10,351.5134551000083,351.5134551000083,0.01933660003123805,[0.28],[0.24],[1],[0],[0],[2.0596779999905266],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
158,0,158,0,10,353.6035602000193,353.6035602000193,0.02406099997460842,[-0.2075],[0.38416666666666666],[1],[0],[0],[1.8562446999712847],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
159,0,159,0,10,355.48388200002955,355.48388200002955,0.019534299965016544,[-0.15916666666666668],[-0.3858333333333333],[1],[0],[0],[2.2297737000044435],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
160,0,160,0,10,357.73903250001604,357.73903250001604,0.020216000033542514,[0.1975],[-0.4075],[1],[0],[0],[1.840702000015881],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
161,0,161,0,10,359.59779889998026,359.59779889998026,0.020348799997009337,[0.3441666666666667],[-0.41333333333333333],[1],[0],[0],[1.5104369999608025],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
162,0,162,0,10,361.1288673999952,361.1288673999952,0.020147799979895353,[-0.018333333333333333],[-0.058333333333333334],[1],[0],[0],[1.909636700002011],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
163,0,163,0,10,363.0614983999985,363.0614983999985,0.019278099993243814,[-0.30416666666666664],[0.10583333333333333],[1],[0],[0],[1.7612168000196107],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
164,0,164,0,5,364.83611199998995,364.83611199998995,0.010389700008090585,[-0.3358333333333333],[-0.36666666666666664],[1],[0],[0],[1.8023338000057265],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
165,0,165,0,10,366.668015800009,366.668015800009,0.02017670002533123,[0.3416666666666667],[0.07083333333333333],[1],[0],[0],[1.9428131000022404],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
166,0,166,0,5,368.6202268000343,368.6202268000343,0.010070700023788959,[0.2675],[-0.30333333333333334],[1],[0],[0],[1.8547341999947093],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
167,0,167,0,5,370.4853106000228,370.4853106000228,0.011166599986609071,[-0.2816666666666667],[-0.2916666666666667],[1],[0],[0],[1.6355307000339963],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
168,0,168,0,5,372.13906790001784,372.13906790001784,0.010748800006695092,[0.33416666666666667],[-0.17333333333333334],[1],[0],[0],[1.6010894000064582],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
169,0,169,0,10,373.76901470002485,373.76901470002485,0.02197240001987666,[0.31583333333333335],[0.265],[1],[0],[0],[1.508947000023909],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
170,0,170,0,5,375.28662790003,375.28662790003,0.011714500025846064,[-0.3375],[-0.09333333333333334],[1],[0],[0],[1.7688991999602877],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
171,0,171,0,5,377.07539890002226,377.07539890002226,0.01188389997696504,[0.44416666666666665],[0.1725],[1],[0],[0],[1.7672586000408046],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
172,0,172,0,5,378.85340269998414,378.85340269998414,0.011705700017046183,[0.43916666666666665],[-0.06666666666666667],[1],[0],[0],[1.3669743000064045],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
173,0,173,0,5,380.2350030000089,380.2350030000089,0.012139099999330938,[0.31916666666666665],[0.03916666666666667],[1],[0],[0],[1.2348404000513256],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
174,0,174,0,10,381.50204849999864,381.50204849999864,0.022830399975646287,[-0.3233333333333333],[-0.12416666666666666],[1],[0],[0],[1.4386226999922656],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
175,0,175,0,5,382.95389100001194,382.95389100001194,0.011526599992066622,[0.0825],[0.36833333333333335],[1],[0],[0],[1.9187094999942929],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
176,0,176,0,10,384.8990465999814,384.8990465999814,0.02364620001753792,[0.006666666666666667],[-0.4691666666666667],[1],[0],[0],[1.9710690000210889],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
177,0,177,0,10,386.89303570002085,386.89303570002085,0.019279800006188452,[0.3333333333333333],[0.0875],[1],[0],[0],[1.578089100017678],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
